Date,Energy.Price
29/01/2017,68.81
30/01/2017,66.62
31/01/2017,68.63
01/02/2017,77.85
02/02/2017,48.85
03/02/2017,49.7
04/02/2017,44.84
05/02/2017,43.71
06/02/2017,51.98
07/02/2017,55.59
08/02/2017,54.19
09/02/2017,58.4
10/02/2017,58.62
11/02/2017,68.24
12/02/2017,57.55
13/02/2017,49.64
14/02/2017,53.43
15/02/2017,56.43
16/02/2017,55.76
17/02/2017,65.01
18/02/2017,67.89
19/02/2017,55.49
20/02/2017,49.34
21/02/2017,50.49
22/02/2017,48.3
23/02/2017,63.09
24/02/2017,54.47
25/02/2017,58.76
26/02/2017,60
27/02/2017,57.15
28/02/2017,41.95
01/03/2017,53.88
02/03/2017,58.41
03/03/2017,55.66
04/03/2017,38.44
05/03/2017,45.02
06/03/2017,40.73
07/03/2017,55.65
08/03/2017,52.76
09/03/2017,56.96
10/03/2017,55.82
11/03/2017,58.21
12/03/2017,41.75
13/03/2017,36.35
14/03/2017,37.89
15/03/2017,45.64
16/03/2017,53.38
17/03/2017,53.76
18/03/2017,53.51
19/03/2017,56.68
20/03/2017,56.98
21/03/2017,54.01
22/03/2017,43.74
23/03/2017,47.86
24/03/2017,58.92
25/03/2017,47.33
26/03/2017,50.65
27/03/2017,43.33
28/03/2017,54.68
29/03/2017,55.86
30/03/2017,55.31
31/03/2017,49.95
01/04/2017,41.48
02/04/2017,51.52
03/04/2017,56.75
04/04/2017,57.15
05/04/2017,45.27
06/04/2017,42.08
07/04/2017,43.08
08/04/2017,58.74
09/04/2017,60.45
10/04/2017,50.07
11/04/2017,54.7
12/04/2017,58.75
13/04/2017,59.76
14/04/2017,62.09
15/04/2017,59.8
16/04/2017,56.44
17/04/2017,56.32
18/04/2017,47.16
19/04/2017,43.44
20/04/2017,44.67
21/04/2017,46.73
22/04/2017,56.71
23/04/2017,58.64
24/04/2017,59.01
25/04/2017,59.52
26/04/2017,49.72
27/04/2017,45.2
28/04/2017,46.13
29/04/2017,52.82
30/04/2017,43.98
01/05/2017,45.13
02/05/2017,59.04
03/05/2017,55.5
04/05/2017,53.8
05/05/2017,50.81
06/05/2017,44.16
07/05/2017,60.89
08/05/2017,54.83
09/05/2017,57.07
10/05/2017,56.39
11/05/2017,46.63
12/05/2017,45.22
13/05/2017,54.45
14/05/2017,55.11
15/05/2017,55.99
16/05/2017,57.32
17/05/2017,55.11
18/05/2017,53.91
19/05/2017,46.57
20/05/2017,54.79
21/05/2017,46.83
22/05/2017,50.88
23/05/2017,52.84
24/05/2017,49.83
25/05/2017,57.05
26/05/2017,59.44
27/05/2017,59.43
28/05/2017,55.6
29/05/2017,57.38
30/05/2017,58.46
31/05/2017,58.57
01/06/2017,60.46
02/06/2017,58.34
03/06/2017,55.59
04/06/2017,50.54
