Date,BTC,DOGE,ETH,LTC,MONERO
14/02/2014 23:59,661.9899902,0.00158356,,16.40509987,
15/02/2014 23:59,650.9199829,0.00152232,,16.16550064,
16/02/2014 23:59,616.6300049,0.00141301,,15.20489979,
17/02/2014 23:59,626.2700195,0.00134315,,15.48700047,
18/02/2014 23:59,626.5999756,0.00142597,,15.61970043,
19/02/2014 23:59,623.0300293,0.00134361,,15.73180008,
20/02/2014 23:59,556.1400146,0.00121164,,13.97529984,
21/02/2014 23:59,574.1599731,0.00120812,,13.89089966,
22/02/2014 23:59,605.4199829,0.00127842,,14.94029999,
23/02/2014 23:59,605.8200073,0.00118508,,15.49489975,
24/02/2014 23:59,546.3200073,0.00107523,,14.54850006,
25/02/2014 23:59,538.710022,0.000989427,,13.82400036,
26/02/2014 23:59,582.6900024,0.00118602,,14.2276001,
27/02/2014 23:59,578.7700195,0.00115917,,14.29209995,
28/02/2014 23:59,549.2600098,0.00107146,,13.22850037,
01/03/2014 23:59,565.6099854,0.00105674,,13.6480999,
02/03/2014 23:59,559.789978,0.000953221,,12.74499989,
03/03/2014 23:59,667.7600098,0.00109953,,14.27219963,
04/03/2014 23:59,666.7800293,0.001044,,17.07279968,
05/03/2014 23:59,665.5100098,0.00105922,,16.33769989,
06/03/2014 23:59,663.8599854,0.00101163,,16.45549965,
07/03/2014 23:59,629.1500244,0.00092756,,15.85140038,
08/03/2014 23:59,617.4500122,0.000833412,,15.40799999,
09/03/2014 23:59,636.960022,0.000871194,,15.99750042,
10/03/2014 23:59,627.789978,0.000778392,,16.00580025,
11/03/2014 23:59,634.1099854,0.000766995,,16.13780022,
12/03/2014 23:59,632.0999756,0.000906474,,17.18300056,
13/03/2014 23:59,638.1400146,0.000868255,,17.02400017,
14/03/2014 23:59,628.7999878,0.000866632,,16.58690071,
15/03/2014 23:59,636.1199951,0.000840224,,16.90229988,
16/03/2014 23:59,631.1099854,0.00082634,,17.3484993,
17/03/2014 23:59,622.3729858,0.000779188,,17.31480026,
18/03/2014 23:59,614.8319702,0.000766797,,19.4204998,
19/03/2014 23:59,609.8880005,0.000772491,,17.23690033,
20/03/2014 23:59,588.7700195,0.000723256,,16.46990013,
21/03/2014 23:59,571.4899902,0.000689305,,15.69839954,
22/03/2014 23:59,565.039978,0.000685832,,15.70670033,
23/03/2014 23:59,561.2719727,0.000743821,,15.35999966,
24/03/2014 23:59,583.4119873,0.000743009,,16.18650055,
25/03/2014 23:59,583.9169922,0.000652646,,16.2996006,
26/03/2014 23:59,580.8270264,0.000639498,,16.27459908,
